Date,Open,High,Low,Close,Adj Close,Volume
2018-05-23,1.550000,1.610000,1.520000,1.530000,1.530000,165900
2018-05-24,1.550000,1.580000,1.530000,1.560000,1.560000,117300
2018-05-25,1.600000,1.600000,1.540000,1.590000,1.590000,88700
2018-05-29,1.560000,1.570000,1.510000,1.510000,1.510000,105000
2018-05-30,1.520000,1.570000,1.510000,1.530000,1.530000,33900
2018-05-31,1.530000,1.550000,1.500000,1.530000,1.530000,83400
2018-06-01,1.530000,1.570000,1.510000,1.530000,1.530000,97800
2018-06-04,1.550000,1.550000,1.480000,1.510000,1.510000,185100
2018-06-05,1.520000,1.610000,1.510000,1.580000,1.580000,161800
2018-06-06,1.550000,1.570000,1.500000,1.530000,1.530000,54400
2018-06-07,1.560000,1.560000,1.530000,1.550000,1.550000,19500
2018-06-08,1.540000,1.590000,1.490000,1.520000,1.520000,309100
2018-06-11,1.530000,1.560000,1.500000,1.530000,1.530000,114300
2018-06-12,1.520000,1.540000,1.480000,1.510000,1.510000,81400
2018-06-13,1.500000,1.520000,1.470000,1.510000,1.510000,95600
2018-06-14,1.500000,1.520000,1.460000,1.480000,1.480000,78500
2018-06-15,1.480000,1.500000,1.470000,1.470000,1.470000,21300
2018-06-18,1.480000,1.490000,1.410000,1.460000,1.460000,70700
2018-06-19,1.430000,1.460000,1.420000,1.420000,1.420000,59000
2018-06-20,1.440000,2.740000,1.420000,2.200000,2.200000,8825800
2018-06-21,2.000000,2.070000,1.710000,1.720000,1.720000,1537500
2018-06-22,1.730000,1.830000,1.700000,1.720000,1.720000,354700
2018-06-25,1.720000,1.720000,1.580000,1.640000,1.640000,218500
2018-06-26,1.640000,1.700000,1.560000,1.630000,1.630000,109900
2018-06-27,1.620000,1.660000,1.610000,1.610000,1.610000,47600
2018-06-28,1.600000,1.770000,1.590000,1.680000,1.680000,231200
2018-06-29,1.700000,1.730000,1.590000,1.620000,1.620000,300400
2018-07-02,1.620000,1.690000,1.600000,1.660000,1.660000,155300
2018-07-03,1.680000,1.690000,1.650000,1.660000,1.660000,61900
2018-07-05,1.670000,1.720000,1.630000,1.680000,1.680000,199300
2018-07-06,1.680000,1.790000,1.680000,1.720000,1.720000,231000
2018-07-09,1.800000,1.840000,1.740000,1.770000,1.770000,274400
2018-07-10,1.790000,1.870000,1.760000,1.810000,1.810000,141500
2018-07-11,1.810000,1.850000,1.760000,1.780000,1.780000,97900
2018-07-12,1.780000,1.820000,1.760000,1.780000,1.780000,41600
2018-07-13,1.780000,1.790000,1.770000,1.770000,1.770000,23600
2018-07-16,1.770000,1.810000,1.750000,1.750000,1.750000,95600
2018-07-17,1.760000,1.790000,1.710000,1.730000,1.730000,132700
2018-07-18,1.730000,1.780000,1.710000,1.740000,1.740000,72500
2018-07-19,1.770000,1.840000,1.720000,1.760000,1.760000,181400
2018-07-20,1.790000,1.840000,1.760000,1.830000,1.830000,61000
2018-07-23,1.900000,1.980000,1.830000,1.900000,1.900000,296000
2018-07-24,2.000000,2.000000,1.890000,1.900000,1.900000,124300
2018-07-25,1.910000,1.960000,1.900000,1.940000,1.940000,83600
2018-07-26,1.950000,1.960000,1.880000,1.950000,1.950000,92200
2018-07-27,1.950000,2.250000,1.910000,2.100000,2.100000,889400
2018-07-30,2.300000,2.300000,1.810000,1.840000,1.840000,699700
2018-07-31,1.830000,1.860000,1.710000,1.720000,1.720000,197300
2018-08-01,1.720000,1.840000,1.710000,1.760000,1.760000,110300
2018-08-02,1.760000,1.770000,1.720000,1.770000,1.770000,57100
2018-08-03,1.780000,1.790000,1.750000,1.760000,1.760000,18700
2018-08-06,1.760000,1.780000,1.690000,1.700000,1.700000,119900
2018-08-07,1.690000,1.720000,1.600000,1.690000,1.690000,167400
2018-08-08,1.680000,1.690000,1.630000,1.650000,1.650000,63900
2018-08-09,1.660000,1.710000,1.650000,1.710000,1.710000,33600
2018-08-10,1.710000,1.740000,1.680000,1.680000,1.680000,38800
2018-08-13,1.690000,1.740000,1.680000,1.680000,1.680000,48300
2018-08-14,1.700000,1.720000,1.660000,1.710000,1.710000,76600
2018-08-15,1.600000,1.610000,1.430000,1.500000,1.500000,335200
